study,group,x,y
Puxi_cohort,control,-0.18662232076866225,-0.1052475979305248
Puxi_cohort,IBD,0.022639149468417732,-0.10293933708567857
Puxi_cohort,IBD,0.4053861788617886,-0.1040650406504065
Puxi_cohort,IBD,0.1704268292682927,-0.10609756097560975
Puxi_cohort,IBD,0.0032520325203252032,-0.10711382113821138
Puxi_cohort,IBD,0.108130081300813,-0.11382113821138211
Puxi_cohort,IBD,0.07764227642276422,-0.11585365853658537
Puxi_cohort,IBD,0.183739837398374,-0.11934959349593492
Puxi_cohort,control,-0.16808943089430894,-0.12327235772357724
Puxi_cohort,IBD,0.11822094691535148,-0.12568149210903867
Puxi_cohort,IBD,0.15365853658536585,-0.12276422764227642
Puxi_cohort,IBD,0.31485587583148555,-0.12889874353288985
Puxi_cohort,IBD,0.2579326364692218,-0.1327758420441347
Puxi_cohort,control,-0.0957723577235772,-0.13544715447154465
Puxi_cohort,IBD,0.16070460704607042,-0.13739837398373983
Puxi_cohort,IBD,-0.027714543812104753,-0.13893405600722675
Puxi_cohort,IBD,0.237940379403794,-0.13947606142728103
Puxi_cohort,IBD,0.03777360850531582,-0.14108818011257027
Puxi_cohort,IBD,0.08109756097560976,-0.14136178861788617
Puxi_cohort,IBD,0.14207866402988356,-0.14653922214897833
Puxi_cohort,IBD,0.22618741976893453,-0.145742404792469
Puxi_cohort,IBD,0.29643958508550594,-0.14757499299130913
Puxi_cohort,IBD,0.09699812382739209,-0.14796747967479676
Puxi_cohort,IBD,0.34751580849141817,-0.15609756097560976
Puxi_cohort,IBD,0.004878048780487805,-0.15345528455284552
Puxi_cohort,IBD,0.07504065040650403,-0.1584552845528456
Puxi_cohort,IBD,0.1602251407129456,-0.15772357723577235
Puxi_cohort,IBD,0.18536585365853658,-0.16560729243656078
Puxi_cohort,control,-0.13723577235772355,-0.16308943089430886
Puxi_cohort,IBD,0.3142645971914264,-0.17495934959349596
Puxi_cohort,IBD,-0.03902439024390244,-0.1766260162601626
Puxi_cohort,IBD,0.06643437862950054,-0.17452574525745262
Puxi_cohort,control,-0.10447154471544716,-0.17459349593495935
Puxi_cohort,IBD,0.01741192411924116,-0.1775745257452575
Puxi_cohort,IBD,0.09018970189701893,-0.1750677506775067
Puxi_cohort,IBD,0.3950316169828365,-0.17696476964769653
Puxi_cohort,IBD,-0.0012195121951219512,-0.18150406504065042
Puxi_cohort,IBD,0.28825654923215904,-0.1824751580849141
Puxi_cohort,IBD,0.17073170731707318,-0.1821138211382114
Puxi_cohort,IBD,0.2295552367288379,-0.185270205643233
Puxi_cohort,IBD,0.19322493224932247,-0.18590785907859084
Puxi_cohort,IBD,0.19728997289972897,-0.18644986449864492
Puxi_cohort,IBD,0.32642276422764227,-0.18739837398373985
Puxi_cohort,IBD,0.061686991869918696,-0.19349593495934958
Puxi_cohort,IBD,0.17073170731707318,-0.1902439024390244
Puxi_cohort,control,-0.1377777777777778,-0.1947967479674796
Puxi_cohort,IBD,0.23132791327913277,-0.19913279132791334
